colorNoise,sizeNoise,alpha,speakerProb,language
0.9,0.9,5,0.0570545224120689,English
0.9,0.9,10,0.004191913221942145,English
0.9,0.9,15,0.0002749891015162664,English
0.9,0.9,20,0.000017896300499205027,English
0.9,1,1,0.21143586615344134,English
0.9,1,2.5,0.17375073415818523,English
0.9,1,5,0.07223376965252941,English
0.9,1,10,0.007157550749372028,English
0.9,1,15,0.0006183658356386593,English
0.9,1,20,0.000052766162613199086,English
1,0.5,1,0.15886644577254122,English
1,0.5,2.5,0.054774480292720036,English
1,0.5,5,0.004069444356230644,English
1,0.5,10,0.000016934019735547266,English
1,0.5,15,6.969169274976963e-8,English
1,0.5,20,2.867971983892185e-10,English
1,0.6,1,0.17197152159269422,English
1,0.6,2.5,0.07065518328609771,English
1,0.6,5,0.007271339742815053,English
1,0.6,10,0.00005498242243397587,English
1,0.6,15,4.0781955369775766e-7,English
1,0.6,20,3.0243033013124525e-9,English
1,0.7,1,0.18349513924301167,English
1,0.7,2.5,0.08562086462459412,English
1,0.7,5,0.011474260402057065,English
1,0.7,10,0.00014004414494459078,English
1,0.7,15,0.0000016585662778823697,English
1,0.7,20,1.9632802656182615e-8,English
1,0.8,1,0.1941229837099462,English
1,0.8,2.5,0.09931485576686505,English
1,0.8,5,0.01657200736770163,English
1,0.8,10,0.0003003926886875883,English
1,0.8,15,0.000005214945967789016,English
1,0.8,20,9.043765822427079e-8,English
1,0.9,1,0.204376087287427,English
1,0.9,2.5,0.11158573818436264,English
1,0.9,5,0.022410970422085424,English
1,0.9,10,0.0005675071109629423,English
1,0.9,15,0.000013561300542003142,English
1,0.9,20,3.234275354296654e-7,English
1,1,1,0.21469564293092658,English
1,1,2.5,0.12243100817872801,English
1,1,5,0.028818241320253103,English
1,1,10,0.0009730267863398351,English
1,1,15,0.000030512473630785818,English
1,1,20,9.53666686658811e-7,English
0.5,0.5,1,0.16102173219819488,"Spanish
-split"
0.5,0.5,2.5,0.15225217121014198,"Spanish
-split"
0.5,0.5,5,0.13703430953059847,"Spanish
-split"
0.5,0.5,10,0.10597077880854268,"Spanish
-split"
0.5,0.5,15,0.07714038649094315,"Spanish
-split"
0.5,0.5,20,0.05325348945960037,"Spanish
-split"
0.5,0.6,1,0.1821972241743355,"Spanish
-split"
0.5,0.6,2.5,0.20298657250772212,"Spanish
-split"
0.5,0.6,5,0.23023766196571585,"Spanish
-split"
0.5,0.6,10,0.2627426436809023,"Spanish
-split"
0.5,0.6,15,0.2804589312037286,"Spanish
-split"
0.5,0.6,20,0.2932455758364596,"Spanish
-split"
0.5,0.7,1,0.20365754845884992,"Spanish
-split"
