Language,Semantics,Utility,Context,Utterance,Probability,UtteranceSpace,NounNoise
English,Discrete,Global,1A,blue pin,0.001,full,0.99
English,Discrete,Global,1A,small blue pin,0.499,full,0.99
Spanish,Discrete,Global,1A,pin,0,full,0.99
Spanish,Discrete,Global,1A,pin small,0.499,full,0.99
Spanish,Discrete,Global,1A,pin blue,0.001,full,0.99
Spanish,Discrete,Global,1A,pin blue small,0.499,full,0.99
French,Discrete,Global,1A,pin,0,full,0.99
French,Discrete,Global,1A,small pin,0.499,full,0.99
French,Discrete,Global,1A,pin blue,0.001,full,0.99
French,Discrete,Global,1A,small pin blue,0.499,full,0.99
Vietnamese,Discrete,Global,1A,pin,0,full,0.99
Vietnamese,Discrete,Global,1A,pin small,0.333,full,0.99
Vietnamese,Discrete,Global,1A,pin blue,0.001,full,0.99
Vietnamese,Discrete,Global,1A,pin small and blue,0.333,full,0.99
Vietnamese,Discrete,Global,1A,pin blue and small,0.333,full,0.99
English,Discrete,Global,1B,pin,0,full,0.99
English,Discrete,Global,1B,small pin,0.001,full,0.99
English,Discrete,Global,1B,blue pin,0.499,full,0.99
English,Discrete,Global,1B,small blue pin,0.499,full,0.99
Spanish,Discrete,Global,1B,pin,0,full,0.99
Spanish,Discrete,Global,1B,pin small,0.001,full,0.99
Spanish,Discrete,Global,1B,pin blue,0.499,full,0.99
Spanish,Discrete,Global,1B,pin blue small,0.499,full,0.99
French,Discrete,Global,1B,pin,0,full,0.99
French,Discrete,Global,1B,small pin,0.001,full,0.99
French,Discrete,Global,1B,pin blue,0.499,full,0.99
French,Discrete,Global,1B,small pin blue,0.499,full,0.99
Vietnamese,Discrete,Global,1B,pin,0,full,0.99
Vietnamese,Discrete,Global,1B,pin small,0.001,full,0.99
Vietnamese,Discrete,Global,1B,pin blue,0.333,full,0.99
Vietnamese,Discrete,Global,1B,pin small and blue,0.333,full,0.99
Vietnamese,Discrete,Global,1B,pin blue and small,0.333,full,0.99
English,Discrete,Global,2A,pin,0,full,0.99
English,Discrete,Global,2A,small pin,0.499,full,0.99
English,Discrete,Global,2A,blue pin,0.003,full,0.99
English,Discrete,Global,2A,small blue pin,0.499,full,0.99
Spanish,Discrete,Global,2A,pin,0,full,0.99
Spanish,Discrete,Global,2A,pin small,0.499,full,0.99
Spanish,Discrete,Global,2A,pin blue,0.003,full,0.99
Spanish,Discrete,Global,2A,pin blue small,0.499,full,0.99
French,Discrete,Global,2A,pin,0,full,0.99
French,Discrete,Global,2A,small pin,0.499,full,0.99
