gameid	Trial	TargetItem	UtteranceType	redUtterance	SufficientProperty	RedundantProperty	NumDistractors	NumSameDistractors	SceneVariation	speakerMessages	listenerMessages	refExp	minimal	redundant	clickedType	clickedSize	clickedColor	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	ColorTypicality	OtherColorTypicality	OtherColor	TypicalityDiff	normTypicality	ColorTypicalityModified	ColorTypicalityUnModified	OtherColorTypicalityModified	OtherColorTypicalityUnModified	TypicalityDiffModified	normTypicalityModified	TypicalityDiffUnModified	normTypicalityUnModified
LhezHLLzMBjSPJrwD	8	small_pink_balloon	color	minimal	color	size redundant	3	1	0.6666666666666666	purple ballon	NA	purple ballon	1	0	balloon	small	pink	TRUE	FALSE	FALSE	FALSE	FALSE	0.693181818181818	0.661111111111111	yellow	0.03207070707070703	0.5118403878426254	0.85258064516129	0.851111111111111	0.892727272727273	0.813333333333333	-0.040146627565983084	0.48849869780727534	0.03777777777777802	0.5113484646194928
LhezHLLzMBjSPJrwD	9	small_blue_tack	size	minimal	size	color redundant	4	3	0.25	smallest pin	NA	smallest pin	1	0	tack	small	blue	FALSE	TRUE	FALSE	FALSE	FALSE	0.705625	0.781666666666667	red	-0.07604166666666701	0.4744361955455945	0.794	0.875714285714286	0.88	0.835	-0.08599999999999997	0.4743130227001195	0.040714285714286036	0.5118997912317329
LhezHLLzMBjSPJrwD	10	big_red_stapler	color	minimal	color	size redundant	4	2	0.5	red stapler	NA	red stapler	1	0	stapler	big	red	TRUE	FALSE	TRUE	FALSE	FALSE	0.531052631578947	0.326666666666667	purple	0.20438596491228	0.6191450194313761	0.8605	0.594444444444444	0.772727272727273	0.702222222222222	0.087772727272727	0.5268709470930394	-0.10777777777777797	0.45844044558697505
LhezHLLzMBjSPJrwD	12	big_blue_guitar	color	minimal	color	size redundant	3	2	0.3333333333333333	blue guitar	NA	blue guitar	1	0	guitar	big	blue	TRUE	FALSE	TRUE	FALSE	FALSE	0.526842105263158	0.305238095238095	green	0.22160401002506303	0.6331626506024098	0.75	0.622352941176471	0.7665	0.628333333333333	-0.01649999999999996	0.49455984174085066	-0.005980392156861969	0.4976091557576236
LhezHLLzMBjSPJrwD	13	big_purple_coathanger	size	minimal	size	color redundant	3	3	0	largest hanger	NA	largest hanger	1	0	coathanger	big	purple	FALSE	TRUE	FALSE	FALSE	FALSE	0.19136363636363601	0.187777777777778	orange	0.003585858585858026	0.5047289196749692	0.574166666666667	0.407	0.479473684210526	0.3	0.09469298245614105	0.5449361029013865	0.10699999999999998	0.5756718528995757
LhezHLLzMBjSPJrwD	14	big_red_candle	color	minimal	color	size redundant	4	3	0.25	red candle	NA	red candle	1	0	candle	big	red	TRUE	FALSE	TRUE	FALSE	FALSE	0.731818181818182	0.494444444444444	blue	0.23737373737373801	0.5967874794069196	0.8232	0.853333333333333	0.760555555555556	0.608	0.06264444444444406	0.5197771822250907	0.24533333333333307	0.5839416058394159
LhezHLLzMBjSPJrwD	16	big_orange_billiardball	color	minimal	color	size redundant	2	1	0.5	orange ball	NA	orange ball	1	0	billiardball	big	orange	TRUE	FALSE	FALSE	FALSE	FALSE	0.827826086956522	0.645294117647059	purple	0.18253196930946303	0.5619542005937603	0.8408	0.798888888888889	0.860588235294118	0.641111111111111	-0.019788235294117995	0.4941846796387724	0.15777777777777802	0.554783950617284
LhezHLLzMBjSPJrwD	18	big_yellow_napkin	size	minimal	size	color redundant	4	4	0	largest	NA	largest	1	0	napkin	big	yellow	FALSE	TRUE	FALSE	FALSE	FALSE	0.347058823529412	0.464347826086957	orange	-0.11728900255754504	0.4277248944083716	0.786666666666667	0.622	0.705384615384615	0.72125	0.0812820512820519	0.5272383571060322	-0.09924999999999995	0.4630560208449656
LhezHLLzMBjSPJrwD	19	big_purple_hairdryer	color	minimal	color	size redundant	2	2	0	blue dryer	NA	blue dryer	1	0	hairdryer	big	purple	TRUE	FALSE	FALSE	FALSE	FALSE	0.332	0.2975	pink	0.03450000000000003	0.5274027005559969	0.688823529411765	0.47625	0.497058823529412	0.589444444444444	0.19176470588235295	0.5808531746031745	-0.11319444444444399	0.4468916981623878
LhezHLLzMBjSPJrwD	20	big_red_bucket	size	minimal	size	color redundant	2	1	0.5	largest	NA	largest	1	0	bucket	big	red	FALSE	TRUE	FALSE	FALSE	FALSE	0.802857142857143	0.351923076923077	pink	0.45093406593406604	0.6952467050482943	0.913076923076923	0.741428571428571	0.735357142857143	0.5025	0.17771978021977997	0.5539056380514307	0.23892857142857105	0.5960378983634795
LhezHLLzMBjSPJrwD	21	big_blue_toothbrush	color	minimal	color	size redundant	4	4	0	blue one	NA	blue one	1	0	toothbrush	big	blue	TRUE	FALSE	FALSE	TRUE	FALSE	0.776315789473684	0.752380952380952	red	0.02393483709273192	0.5078285105336503	0.848888888888889	0.801428571428571	0.698947368421053	0.617142857142857	0.14994152046783604	0.5484358470606014	0.18428571428571405	0.564954682779456
LhezHLLzMBjSPJrwD	25	big_red_yarn	color	minimal	color	size redundant	4	4	0	red	NA	red	1	0	yarn	big	red	TRUE	FALSE	FALSE	FALSE	FALSE	0.744444444444444	0.599090909090909	purple	0.145353535353535	0.5540936771671301	0.906	0.85	0.86	0.747	0.04600000000000004	0.5130237825594565	0.10299999999999998	0.5322479649342517
LhezHLLzMBjSPJrwD	26	small_white_phone	color	minimal	color	size redundant	4	1	0.75	white	NA	white	1	0	phone	small	white	TRUE	FALSE	FALSE	FALSE	FALSE	0.812380952380952	0.273157894736842	pink	0.5392230576441099	0.7483665412231892	0.516111111111111	0.33875	0.504444444444444	0.341428571428571	0.011666666666666936	0.5057158410451825	-0.0026785714285710305	0.49803097925964845
LhezHLLzMBjSPJrwD	29	big_blue_comb	size	minimal	size	color redundant	4	2	0.5	largest	NA	largest	1	0	comb	big	blue	FALSE	TRUE	FALSE	FALSE	FALSE	0.67695652173913	0.937058823529412	black	-0.26010230179028204	0.41942384483742134	0.7292	0.762727272727273	0.968666666666667	0.913333333333333	-0.23946666666666705	0.4294801319302653	-0.15060606060605997	0.45507141565720505
LhezHLLzMBjSPJrwD	31	big_red_bike	color	minimal	color	size redundant	2	2	0	red	NA	red	1	0	bike	big	red	TRUE	FALSE	FALSE	FALSE	FALSE	0.868	0.349	purple	0.519	0.7132292522596548	0.814736842105263	0.76	0.701666666666667	0.625	0.11307017543859599	0.5372823508995197	0.135	0.5487364620938628
LhezHLLzMBjSPJrwD	35	big_purple_butterfly	color	minimal	color	size redundant	4	2	0.5	pink	NA	pink	1	0	butterfly	big	purple	TRUE	FALSE	FALSE	FALSE	FALSE	0.39047619047619	0.646842105263158	blue	-0.256365914786968	0.3764285196549804	0.690555555555556	0.717	0.752857142857143	0.628333333333333	-0.06230158730158697	0.47841865068455497	0.088666666666667	0.5329534192269575
LhezHLLzMBjSPJrwD	36	small_black_book	size	minimal	size	color redundant	3	3	0	smallest	NA	smallest	1	0	book	small	black	FALSE	TRUE	FALSE	FALSE	FALSE	0.853684210526316	0.67952380952381	blue	0.17416040100250607	0.5567960768287697	0.85304347826087	0.709230769230769	0.775	0.757857142857143	0.07804347826086999	0.5239684871144347	-0.04862637362637401	0.4834275869817608
LhezHLLzMBjSPJrwD	37	small_yellow_bellpepper	color	minimal	color	size redundant	3	3	0	yellow	NA	yellow	1	0	bellpepper	small	yellow	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LhezHLLzMBjSPJrwD	40	small_red_scarf	color	minimal	color	size redundant	3	3	0	red	NA	red	1	0	scarf	small	red	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LhezHLLzMBjSPJrwD	42	big_brown_jacket	size	minimal	size	color redundant	3	1	0.6666666666666666	largest	NA	largest	1	0	jacket	big	brown	FALSE	TRUE	FALSE	FALSE	FALSE	0.703125	0.48625	green	0.21687499999999998	0.5911718339464004	0.667142857142857	0.571	0.663181818181818	0.64	0.003961038961039054	0.501488748962757	-0.06900000000000006	0.4715111478117259
LhezHLLzMBjSPJrwD	47	big_green_binder	size	minimal	size	color redundant	2	2	0	largest	NA	largest	1	0	binder	big	green	FALSE	TRUE	FALSE	FALSE	FALSE	0.588181818181818	0.765555555555556	blue	-0.17737373737373796	0.4344873899417995	0.676153846153846	0.5825	0.673529411764706	0.642222222222222	0.0026244343891399513	0.5009722408475257	-0.05972222222222201	0.4756180539804945
LhezHLLzMBjSPJrwD	48	big_orange_cap	color	minimal	color	size redundant	4	3	0.25	orange	NA	orange	1	0	cap	big	orange	TRUE	FALSE	FALSE	FALSE	FALSE	0.376296296296296	0.397692307692308	blue	-0.021396011396011994	0.48617808370449406	0.658064516129032	0.636153846153846	0.664	0.546666666666667	-0.005935483870967984	0.497755221549873	0.08948717948717899	0.5378278777368305
LhezHLLzMBjSPJrwD	51	small_red_chair	size	minimal	size	color redundant	4	1	0.75	smallest	NA	smallest	1	0	chair	small	red	FALSE	TRUE	FALSE	FALSE	FALSE	0.606190476190476	0.164210526315789	green	0.4419799498746869	0.7868505806955337	0.692777777777778	0.678	0.703333333333333	0.409166666666667	-0.010555555555554985	0.4962196577795466	0.26883333333333304	0.6236394297102559
LhezHLLzMBjSPJrwD	52	small_black_turtle	color	minimal	color	size redundant	2	1	0.5	black	NA	black	1	0	turtle	small	black	TRUE	FALSE	FALSE	FALSE	FALSE	0.110526315789474	0.866666666666667	brown	-0.756140350877193	0.11310592459605051	0.664117647058823	0.539	0.826363636363636	0.807272727272727	-0.16224598930481293	0.44557261768082657	-0.268272727272727	0.40036464312242565
LhezHLLzMBjSPJrwD	53	big_blue_rug	size	minimal	size	color redundant	3	1	0.6666666666666666	largest	NA	largest	1	0	rug	big	blue	FALSE	TRUE	FALSE	FALSE	FALSE	0.604736842105263	0.288095238095238	purple	0.316641604010025	0.6773242757691444	0.72	0.665454545454546	0.817222222222222	0.577142857142857	-0.09722222222222199	0.4683773039392845	0.08831168831168901	0.5355351170568564
LhezHLLzMBjSPJrwD	55	small_red_pepper	size	minimal	size	color redundant	4	1	0.75	smallest	NA	smallest	1	0	pepper	small	red	FALSE	TRUE	FALSE	FALSE	FALSE	0.922916666666667	0.873125	green	0.04979166666666701	0.5138615009859646	0.88875	0.847857142857143	0.8	0.8875	0.08875	0.5262768319763138	-0.03964285714285698	0.48857789668656104
LhezHLLzMBjSPJrwD	56	big_green_bracelet	size	minimal	size	color redundant	4	4	0	largest	NA	largest	1	0	bracelet	big	green	FALSE	TRUE	FALSE	FALSE	FALSE	0.514545454545455	0.564444444444444	purple	-0.049898989898989	0.47687698932784167	0.718947368421053	0.67	0.7465	0.644166666666667	-0.02755263157894705	0.4905992421929716	0.02583333333333304	0.5098287888395687
LhezHLLzMBjSPJrwD	60	big_grey_rock	size	minimal	size	color redundant	2	1	0.5	largest	NA	largest	1	0	rock	big	grey	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LhezHLLzMBjSPJrwD	62	big_pink_weddingcake	size	minimal	size	color redundant	4	3	0.25	largest	NA	largest	1	0	weddingcake	big	pink	FALSE	TRUE	FALSE	FALSE	FALSE	0.400416666666667	0.88625	white	-0.485833333333333	0.3112046632124354	0.760666666666667	0.443333333333333	0.781739130434783	0.745384615384615	-0.021072463768116	0.49316896247157643	-0.30205128205128196	0.3729508196721311
LhezHLLzMBjSPJrwD	63	big_white_teacup	color	minimal	color	size redundant	3	1	0.6666666666666666	white	NA	white	1	0	teacup	big	white	TRUE	FALSE	FALSE	FALSE	FALSE	0.852592592592593	0.194615384615385	pink	0.657977207977208	0.8141578474848326	0.870952380952381	0.912	0.581111111111111	0.59	0.28984126984127	0.5998032356799301	0.32200000000000006	0.607190412782956
