gameId,roundNumber,condition,BDASize,BDAColor,BDAOtherColor,BDAItem,redBDAUtterance
krPu8jL2ifeQiJtiz,42,color42,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,57,color42,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,51,color42,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,68,color42,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,17,color42,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,44,color42,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,7,color42,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,44,color42,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,18,color42,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,65,color42,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,43,color42,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,61,color42,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,4,color42,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,9,color42,size,color,othercolor,item,color
89kCaivgGxt9As4s5,12,color42,size,color,othercolor,item,color
89kCaivgGxt9As4s5,51,color42,size,color,othercolor,item,color
KkMmp5urRFWCQh3Hb,4,color42,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,2,color42,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,43,color42,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,13,color42,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,41,color42,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,67,color42,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,71,color42,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,37,color42,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,55,color42,size,color,othercolor,item,color
TXdqz7vwbJSeKpJHS,47,color43,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,55,color43,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,58,color43,size,color,othercolor,item,color
Drac2QY2EJGirNSty,34,color43,size,color,othercolor,item,color
Drac2QY2EJGirNSty,47,color43,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,59,color43,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,71,color43,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,5,color43,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,35,color43,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,40,color43,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,46,color43,size,color,othercolor,item,color
xiA5WJQ9BBwufErLv,58,color43,size,color,othercolor,item,color
xiA5WJQ9BBwufErLv,68,color43,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,41,color43,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,67,color43,size,color,othercolor,item,color
C9425wL5d2jqqrfnt,23,color43,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,10,color43,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,52,color43,size,color,othercolor,item,color
5FBHB2gcEAxFrnBTj,23,color43,size,color,othercolor,item,size_color
5FBHB2gcEAxFrnBTj,59,color43,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,26,color43,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,50,color43,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,22,color43,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,64,color43,size,color,othercolor,item,color
