gameid,speakerName,language,roundNum,condition,targetName,correct,gloss,colorMention,sizeMention,UtteranceType,onlyColorMention,onlySizeMention,colorsizeMention,RedundantProperty,SufficientProperty,RedExp3Cat,RedExp2Cat,redundant
9173-1,bayramamca,CTSL,22,"size 
 sufficient",key_big_silver,1,"key small key small, point(color) big",0,1,only size,0,1,0,color,size,minimal,not_redundant,0
9173-1,bayramamca,CTSL,25,"color 
 sufficient",pants_small_pink,1,point(pink) pants,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
9173-1,bayramamca,CTSL,27,"color 
 sufficient",skirt_big_blue,1,point(blue) skirt,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
9173-1,bayramamca,CTSL,28,"size 
 sufficient",flower_big_yellow,1,flower point(yellow) flower big flower big,1,1,color and size,0,0,1,color,size,redundant,redundant,1
9173-1,bayramamca,CTSL,30,"size 
 sufficient",button_big_green,1,point(button) point(green) big point(button) big point(green),1,1,color and size,0,0,1,color,size,redundant,redundant,1
9173-1,bayramamca,CTSL,33,"size 
 sufficient",glove_small_orange,1,point(red) glove small,1,1,color and size,0,0,1,color,size,redundant,redundant,1
9173-1,bayramamca,CTSL,36,"size 
 sufficient",glasses_small_blue,1,point(blue) glasses small,1,1,color and size,0,0,1,color,size,redundant,redundant,1
9173-1,bayramamca,CTSL,37,"size 
 sufficient",apple_big_green,1,"apple point(green) apple apple, point(screen) big",1,1,color and size,0,0,1,color,size,redundant,redundant,1
9173-1,bayramamca,CTSL,38,"color 
 sufficient",pot_big_green,1,point(green) flame pot,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
9173-1,bayramamca,CTSL,39,"size 
 sufficient",clock_big_purple,1,clock big point(purple) big clock big,1,1,color and size,0,0,1,color,size,redundant,redundant,1
9173-1,bayramamca,CTSL,40,"color 
 sufficient",umbrella_big_blue,1,point(blue) rain umbrella,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
9173-1,bayramamca,CTSL,41,"size 
 sufficient",cat_small_black,1,cat point(blue) small,1,1,color and size,0,0,1,color,size,redundant,redundant,1
9173-1,bayramamca,CTSL,42,"size 
 sufficient",car_big_green,1,car point(green) big big,1,1,color and size,0,0,1,color,size,redundant,redundant,1
9173-1,bayramamca,CTSL,45,"color 
 sufficient",lighter_small_white,1,lighter cigarette lighter small point(white) small,1,1,color and size,0,0,1,size,color,redundant,redundant,1
9173-1,bayramamca,CTSL,47,"color 
 sufficient",socks_small_green,1,socks point(green) small,1,1,color and size,0,0,1,size,color,redundant,redundant,1
9173-1,bayramamca,CTSL,49,"size 
 sufficient",brush_big_red,1,point(blue) brush big,1,1,color and size,0,0,1,color,size,redundant,redundant,1
9173-1,bayramamca,CTSL,54,"size 
 sufficient",chair_big_yellow,1,"point(yellow) sit big, big big",1,1,color and size,0,0,1,color,size,redundant,redundant,1
9173-1,bayramamca,CTSL,55,"size 
 sufficient",ball_big_yellow,1,"point(yellow) ball, big",1,1,color and size,0,0,1,color,size,redundant,redundant,1
