"","gameid","roundNum","condition","targetName","gloss","pos_sequence","mouthing","pointing","notes","language","attempt","pos"
"99","5101-0",26,"size_sufficient","cat_small_white","white cat small","color noun size",NA,NA,NA,"Turkish","attempt1","color noun size"
"100","5101-0",30,"color_sufficient","scissors_big_green","green, green scissors","color, color noun",NA,NA,NA,"Turkish","attempt1","color"
"101","5101-0",31,"size_sufficient","glove_big_green","glove big green","noun size color",NA,NA,NA,"Turkish","attempt1","noun size color"
"102","5101-0",32,"size_sufficient","chair_big_yellow","yellow chair big","color noun size",NA,NA,NA,"Turkish","attempt1","color noun size"
"103","5101-0",33,"size_sufficient","clock_small_purple","purple small","color size",NA,NA,NA,"Turkish","attempt1","color size"
"104","5101-0",34,"color_sufficient","lock_small_gold","yellow lock","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"105","5101-0",35,"size_sufficient","dress_big_blue","blue dress big","color noun size",NA,NA,NA,"Turkish","attempt1","color noun size"
"106","5101-0",36,"color_sufficient","lighter_small_white","white lighter","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"107","5101-0",38,"color_sufficient","lipstick_small_red","red lipstick small","color noun size",NA,NA,NA,"Turkish","attempt1","color noun size"
"108","5101-0",40,"color_sufficient","shoe_small_pink","pink","color",NA,NA,NA,"Turkish","attempt1","color"
"109","5101-0",41,"size_sufficient","bag_big_red","red bag big, big","color noun size, size",NA,NA,NA,"Turkish","attempt1","color noun size"
"110","5101-0",47,"color_sufficient","pants_small_green","green pants","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"111","5101-0",48,"color_sufficient","skirt_small_blue","blue dress","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"112","5101-0",49,"size_sufficient","key_small_silver","key small","noun size",NA,NA,NA,"Turkish","attempt1","noun size"
"113","5101-0",50,"size_sufficient","knife_big_red","red knife, big","color noun, size",NA,NA,NA,"Turkish","attempt1","color noun"
"114","5101-0",53,"size_sufficient","glasses_big_blue","blue glasses big","color noun size",NA,NA,NA,"Turkish","attempt1","color noun size"
"115","5101-0",54,"color_sufficient","pot_small_blue","blue pot small","color noun size",NA,NA,NA,"Turkish","attempt1","color noun size"
"116","5101-0",56,"color_sufficient","pepper_big_green","green peppers","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"117","5101-0",58,"size_sufficient","ball_big_yellow","big yellow ball","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"118","5101-0",60,"size_sufficient","button_big_blue","button, blue, big","noun, color, size",NA,NA,NA,"Turkish","attempt1","noun"
"119","0881-8",6,"color_sufficient","lock_big_gold","lock lock big lock big lock big lock, door fit lock color point(color), point(yellow)","noun noun size noun size noun size noun, noun2 verb2 noun COLOR color, color",NA,"1",NA,"CTSL","attempt1","noun noun size noun size noun size noun"
"120","0881-8",7,"size_sufficient","cat_big_white","point(brown) big, bite","color size, verb2",NA,"1",NA,"CTSL","attempt1","color size"
"121","0881-8",11,"color_sufficient","lighter_small_black","lighter point(black) lighter","noun color noun",NA,"1",NA,"CTSL","attempt1","noun color noun"
"122","0881-8",12,"color_sufficient","tshirt_small_yellow","tshirt tshirt small point(yellow)","noun noun size color",NA,"1",NA,"CTSL","attempt1","noun noun size color"
"123","0881-8",14,"size_sufficient","apple_big_green","apple big apple big color point(green)","noun size noun size COLOR color",NA,NA,NA,"CTSL","attempt1","noun size noun size COLOR color"
"124","0881-8",16,"color_sufficient","socks_big_green","socks point(green)","noun color",NA,"1",NA,"CTSL","attempt1","noun color"
"125","0881-8",18,"size_sufficient","knife_big_red","knife, knife big point(red)","noun, noun size color",NA,"1",NA,"CTSL","attempt1","noun"
"126","0881-8",22,"size_sufficient","chair_big_blue","point(chair) sit point(blue) point(blue) big","noun verb2 color color size",NA,"1",NA,"CTSL","attempt1","noun verb2 color color size"
"127","0881-8",23,"size_sufficient","glasses_big_blue","glasses big glasses glasses point(blue)","noun size noun, noun color",NA,"1",NA,"CTSL","attempt1","noun size noun"
"128","0881-8",24,"size_sufficient","glove_big_orange","gloves point(orange), big gloves","noun color, size noun",NA,"1",NA,"CTSL","attempt1","noun color"
"129","0881-8",27,"color_sufficient","toothbrush_big_purple","toothbrush point(purple)","noun color",NA,"1",NA,"CTSL","attempt1","noun color"
"130","0881-8",30,"size_sufficient","flower_small_yellow","flower small point(yellow) small","noun size color size",NA,"1","does she sign small","CTSL","attempt1","noun size color size"
"131","0881-8",31,"color_sufficient","scissors_small_green","scissors point(green)","noun color",NA,"1",NA,"CTSL","attempt1","noun color"
"132","0881-8",32,"color_sufficient","pepper_big_green","pepper point(green)","noun color",NA,"1",NA,"CTSL","attempt1","noun color"
"133","0881-8",35,"size_sufficient","baloon_small_pink","baloon ballon small","noun noun size",NA,NA,NA,"CTSL","attempt1","noun noun size"
"134","0881-8",37,"color_sufficient","pot_big_green","pot flames point(green)","noun noun2 color",NA,"1",NA,"CTSL","attempt1","noun noun2 color"
"135","0881-8",43,"size_sufficient","dress_big_green","dress big point(green)","noun size color",NA,"1",NA,"CTSL","attempt1","noun size color"
"136","0881-8",44,"color_sufficient","umbrella_small_blue","umbrella umbrella small umbrella small point(screen) point(blue)","noun noun size noun size loc color",NA,"1",NA,"CTSL","attempt1","noun noun size noun size loc color"
"137","0881-8",46,"color_sufficient","pants_small_pink","pants small pants point(pink)","noun size noun color",NA,"1",NA,"CTSL","attempt1","noun size noun color"
"138","0881-8",47,"color_sufficient","tie_small_red","tie point(red)","noun color",NA,"1",NA,"CTSL","attempt1","noun color"
"139","0881-8",52,"size_sufficient","brush_small_blue","brush small brush","noun size noun",NA,NA,NA,"CTSL","attempt1","noun size noun"
"140","0881-8",53,"size_sufficient","button_small_green","? point(green), circle","? color, noun2",NA,"1","what does she sign before pointing","CTSL","attempt1","? color"
"141","0881-8",54,"color_sufficient","shoe_big_yellow","shoe point(yellow)","noun color",NA,"1",NA,"CTSL","attempt1","noun color"
"142","0881-8",57,"size_sufficient","car_big_green","car point(green) big, big","noun color size, size",NA,"1",NA,"CTSL","attempt1","noun color size"
"143","0881-8",58,"color_sufficient","lipstick_big_pink","lipstick point(pink)","noun color",NA,"1",NA,"CTSL","attempt1","noun color"
"144","0881-8",59,"size_sufficient","ball_big_purple","ball ball point(purple)","noun noun color",NA,"1","doesn't sign big?","CTSL","attempt1","noun noun color"
"145","2062-e",10,"size_sufficient","brush_big_red","brush big","noun size",NA,NA,NA,"Turkish","attempt1","noun size"
"146","2062-e",12,"size_sufficient","cat_small_black","black cat, small","color noun, size",NA,NA,NA,"Turkish","attempt1","color noun"
"147","2062-e",13,"size_sufficient","chair_small_yellow","chair yellow small","noun color size",NA,NA,NA,"Turkish","attempt1","noun color size"
"148","2062-e",14,"size_sufficient","car_big_green","car big green","noun size color",NA,NA,NA,"Turkish","attempt1","noun size color"
"149","2062-e",16,"size_sufficient","glove_big_orange","glove big orange","noun size color",NA,NA,NA,"Turkish","attempt1","noun size color"
"150","2062-e",19,"color_sufficient","shoe_small_pink","sports pink","noun2 color",NA,NA,NA,"Turkish","attempt1","noun2 color"
"151","2062-e",20,"color_sufficient","pants_big_pink","pants purple","noun color",NA,NA,NA,"Turkish","attempt1","noun color"
"152","2062-e",21,"size_sufficient","button_big_blue","button big, blue","noun size, color",NA,NA,NA,"Turkish","attempt1","noun size"
"153","2062-e",22,"size_sufficient","dress_small_green","dress small","noun size",NA,NA,NA,"Turkish","attempt1","noun size"
"154","2062-e",23,"size_sufficient","ball_small_purple","ball small purple","noun size color",NA,NA,NA,"Turkish","attempt1","noun size color"
"155","2062-e",26,"size_sufficient","flower_small_yellow","flower small","noun size",NA,NA,NA,"Turkish","attempt1","noun size"
"156","2062-e",31,"color_sufficient","pot_small_green","pot green","noun color",NA,NA,NA,"Turkish","attempt1","noun color"
"157","2062-e",32,"color_sufficient","socks_big_blue","socks blue","noun color",NA,NA,NA,"Turkish","attempt1","noun color"
"158","2062-e",33,"size_sufficient","clock_big_yellow","clock yellow big","noun color size",NA,NA,NA,"Turkish","attempt1","noun color size"
"159","2062-e",35,"size_sufficient","knife_big_red","knife big red holder","noun size color noun2",NA,"bicak buyuk kirmizi sapli",NA,"Turkish","attempt1","noun size color noun2"
"160","2062-e",36,"size_sufficient","bag_big_red","bag big red","noun size color",NA,NA,NA,"Turkish","attempt1","noun size color"
"161","2062-e",37,"color_sufficient","lock_small_silver","lock gray","noun color",NA,NA,NA,"Turkish","attempt1","noun color"
"162","2062-e",38,"color_sufficient","toothbrush_small_green","brush green","noun color",NA,NA,NA,"Turkish","attempt1","noun color"
"163","2062-e",39,"size_sufficient","apple_small_red","apple small red","noun size color",NA,NA,NA,"Turkish","attempt1","noun size color"
"164","2062-e",40,"color_sufficient","lighter_big_black","lighter black","noun color",NA,NA,NA,"Turkish","attempt1","noun color"
"165","2062-e",41,"size_sufficient","balloon_big_pink","baloon pink big","noun color size",NA,NA,NA,"Turkish","attempt1","noun color size"
"166","2062-e",42,"color_sufficient","tshirt_big_orange","tshirt red like one","noun color noun2",NA,"tisort kirmizi gibi olan",NA,"Turkish","attempt1","noun color noun2"
"167","2062-e",45,"color_sufficient","scissors_big_blue","scissors blue","noun color",NA,NA,NA,"Turkish","attempt1","noun color"
"168","2062-e",46,"color_sufficient","skirt_small_green","skirt green","noun color",NA,NA,NA,"Turkish","attempt1","noun color"
"169","2062-e",47,"color_sufficient","tie_big_red","tie red","noun color",NA,NA,NA,"Turkish","attempt1","noun color"
"170","2062-e",51,"size_sufficient","glasses_big_red","glasses red big","noun color size",NA,NA,NA,"Turkish","attempt1","noun color size"
"171","2062-e",52,"color_sufficient","umbrella_big_green","umbrella green","noun color",NA,NA,NA,"Turkish","attempt1","noun color"
"172","2062-e",55,"size_sufficient","key_small_gold","key yellow small","noun color size",NA,NA,NA,"Turkish","attempt1","noun color size"
"173","2062-e",57,"color_sufficient","pepper_big_red","pepper red","noun color",NA,NA,NA,"Turkish","attempt1","noun color"
"174","9458-d",14,"size_sufficient","key_big_silver","big big big key big, big big","size size size noun size, size size","big","0",NA,"CTSL","attempt1","size size size noun size"
